timestamp,end,s,i,open,close,high,low,volume,n
2020-08-19,2020-08-19 23:59:59.999,ETH,1d,422.33,407.65,427.1,393.28,0.0,0
2020-08-20,2020-08-20 23:59:59.999,ETH,1d,407.63,416.29,419.48,402.41,0.0,0
2020-08-21,2020-08-21 23:59:59.999,ETH,1d,416.3,388.25,418.95,385.09,0.0,0
2020-08-22,2020-08-22 23:59:59.999,ETH,1d,388.27,395.44,397.34,380.0,0.0,0
2020-08-23,2020-08-23 23:59:59.999,ETH,1d,395.44,391.0,397.2,383.69,0.0,0
2020-08-24,2020-08-24 23:59:59.999,ETH,1d,391.0,407.94,410.7,387.64,0.0,0
2020-08-25,2020-08-25 23:59:59.999,ETH,1d,407.91,383.11,409.43,370.14,0.0,0
2020-08-26,2020-08-26 23:59:59.999,ETH,1d,383.07,386.02,393.44,377.63,0.0,0
2020-08-27,2020-08-27 23:59:59.999,ETH,1d,386.02,383.6,397.38,371.31,0.0,0
2020-08-28,2020-08-28 23:59:59.999,ETH,1d,383.58,395.14,398.8,379.94,0.0,0
2020-08-29,2020-08-29 23:59:59.999,ETH,1d,395.16,398.66,405.8,391.81,0.0,0
2020-08-30,2020-08-30 23:59:59.999,ETH,1d,398.71,429.11,430.28,398.37,0.0,0
2020-08-31,2020-08-31 23:59:59.999,ETH,1d,429.12,434.03,439.49,418.2,0.0,0
2020-09-01,2020-09-01 23:59:59.999,ETH,1d,434.03,475.61,489.32,429.25,0.0,0
2020-09-02,2020-09-02 23:59:59.999,ETH,1d,475.7,439.75,482.44,418.3,0.0,0
2020-09-03,2020-09-03 23:59:59.999,ETH,1d,439.74,381.62,450.91,371.0,0.0,0
2020-09-04,2020-09-04 23:59:59.999,ETH,1d,381.52,385.2,400.63,356.14,0.0,0
2020-09-05,2020-09-05 23:59:59.999,ETH,1d,385.24,334.85,394.89,307.36,0.0,0
2020-09-06,2020-09-06 23:59:59.999,ETH,1d,334.85,352.69,360.0,316.03,0.0,0
2020-09-07,2020-09-07 23:59:59.999,ETH,1d,352.62,353.49,358.48,323.02,0.0,0
2020-09-08,2020-09-08 23:59:59.999,ETH,1d,353.49,337.32,356.67,325.0,0.0,0
2020-09-09,2020-09-09 23:59:59.999,ETH,1d,337.38,350.65,359.0,330.58,0.0,0
2020-09-10,2020-09-10 23:59:59.999,ETH,1d,350.58,367.69,377.0,349.66,0.0,0
2020-09-11,2020-09-11 23:59:59.999,ETH,1d,367.69,373.45,375.07,355.6,0.0,0
2020-09-12,2020-09-12 23:59:59.999,ETH,1d,373.42,387.65,388.36,364.43,0.0,0
2020-09-13,2020-09-13 23:59:59.999,ETH,1d,387.58,366.24,390.45,353.12,0.0,0
2020-09-14,2020-09-14 23:59:59.999,ETH,1d,366.24,377.13,384.42,355.48,0.0,0
2020-09-15,2020-09-15 23:59:59.999,ETH,1d,377.13,364.06,382.49,362.29,0.0,0
2020-09-16,2020-09-16 23:59:59.999,ETH,1d,364.0,364.95,373.3,354.75,0.0,0
2020-09-17,2020-09-17 23:59:59.999,ETH,1d,364.97,389.24,394.07,363.1,0.0,0
2020-09-18,2020-09-18 23:59:59.999,ETH,1d,389.23,384.44,392.43,375.39,0.0,0
2020-09-19,2020-09-19 23:59:59.999,ETH,1d,384.43,384.96,388.71,376.67,0.0,0
2020-09-20,2020-09-20 23:59:59.999,ETH,1d,384.95,370.85,385.33,364.52,0.0,0
2020-09-21,2020-09-21 23:59:59.999,ETH,1d,370.86,340.19,377.2,330.66,0.0,0
2020-09-22,2020-09-22 23:59:59.999,ETH,1d,340.19,344.06,346.75,335.27,0.0,0
2020-09-23,2020-09-23 23:59:59.999,ETH,1d,344.05,320.64,344.6,312.36,0.0,0
2020-09-24,2020-09-24 23:59:59.999,ETH,1d,320.64,348.77,353.09,316.37,0.0,0
2020-09-25,2020-09-25 23:59:59.999,ETH,1d,348.73,351.88,357.88,337.5,0.0,0
2020-09-26,2020-09-26 23:59:59.999,ETH,1d,351.88,353.88,356.58,345.76,0.0,0
2020-09-27,2020-09-27 23:59:59.999,ETH,1d,353.89,357.4,362.22,346.79,0.0,0
2020-09-28,2020-09-28 23:59:59.999,ETH,1d,357.29,353.85,368.45,351.6,0.0,0
2020-09-29,2020-09-29 23:59:59.999,ETH,1d,353.84,359.7,360.55,350.07,0.0,0
2020-09-30,2020-09-30 23:59:59.999,ETH,1d,359.7,359.71,361.55,351.02,0.0,0
2020-10-01,2020-10-01 23:59:59.999,ETH,1d,359.71,352.53,370.44,345.1,0.0,0
2020-10-02,2020-10-02 23:59:59.999,ETH,1d,352.54,345.41,354.34,334.01,0.0,0
2020-10-03,2020-10-03 23:59:59.999,ETH,1d,345.44,345.72,350.86,343.38,0.0,0
2020-10-04,2020-10-04 23:59:59.999,ETH,1d,345.69,352.23,354.3,343.68,0.0,0
2020-10-05,2020-10-05 23:59:59.999,ETH,1d,352.15,353.45,356.51,348.2,0.0,0
2020-10-06,2020-10-06 23:59:59.999,ETH,1d,353.45,340.65,354.95,336.44,0.0,0
2020-10-07,2020-10-07 23:59:59.999,ETH,1d,340.66,341.41,342.9,332.22,0.0,0
2020-10-08,2020-10-08 23:59:59.999,ETH,1d,341.42,351.08,353.43,333.88,0.0,0
2020-10-09,2020-10-09 23:59:59.999,ETH,1d,351.07,365.04,368.3,347.26,0.0,0
2020-10-10,2020-10-10 23:59:59.999,ETH,1d,365.03,370.68,378.7,364.71,0.0,0
2020-10-11,2020-10-11 23:59:59.999,ETH,1d,370.68,374.39,378.1,369.07,0.0,0
